num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
4558,Giovanni Ricco,macro,Europe,Warwick,8,2197,8,2100,213.5954119357436,1734,399.0,2019,11,2737,0,3283,6,1392,5.5,2853,0,3203,8,2146,4.0,2445,106.7977059678718,2072,213.5954119357436,1536,214.5954119357436,1983
4559,Matthew Ridley,development,Europe,Warwick,1,4388,1,3809,640.0,750,640.0,1634,1,4577,0,3283,0,3965,0.5,4588,0,3203,1,3860,0.5,4086,320.0,1317,640.0,589,641.0,1189
4560,Federico Rossi,development,Europe,Warwick,4,3256,3,3094,34.85685011586675,3427,65.0,3397,6,3475,2,1169,3,2072,4.0,3242,1,1424,4,2882,3.0,2752,65.71162332380054,2473,28.92582403567252,3442,83.77747210701756,2783
4561,Devesh Rustagi,behavior-experiment,Europe,Warwick,3,3600,2,3404,402.9019731895092,1120,496.0,1836,4,3855,2,1169,3,2072,3.0,3545,1,1424,3,3149,3.0,2752,322.37979310229287,1313,393.0460330958492,929,1176.1380992875477,878
4562,Ernil Sabaj,macro,Europe,Warwick,0,4667,0,4385,0.0,4667,0.0,4667,3,4085,0,3283,0,3965,1.5,4125,0,3203,0,4408,0.0,4504,0.0,4667,0.0,4669,1.0,4669
4563,Marta Santamaria,i_trade,Europe,Warwick,1,4388,1,3809,17.0,3891,17.0,4044,1,4577,0,3283,0,3965,0.5,4588,0,3203,1,3860,0.5,4086,8.5,3921,17.0,3801,18.0,3868
4564,Daniel Sgroi,behavior-experiment,Europe,Warwick,11,1625,11,1709,610.8404046884914,781,908.0,1347,28,1363,0,3283,7,1234,14.0,1485,0,3203,11,1737,6.0,1923,305.4202023442457,1341,610.8404046884914,615,611.8404046884914,1215
4565,Jennifer Smith,labor,Europe,Warwick,8,2197,8,2100,89.99444427296609,2602,211.0,2568,9,3018,0,3283,3,2072,4.5,3116,0,3203,8,2146,4.0,2445,44.997222136483046,2790,89.99444427296609,2444,90.99444427296608,2716
4566,Christian Soegaard,i_trade,Europe,Warwick,2,3967,0,4385,6.324555320336759,4256,8.0,4272,5,3656,0,3283,0,3965,2.5,3719,0,3203,0,4408,0.0,4504,3.1622776601683795,4269,6.324555320336759,4207,7.324555320336759,4227
4567,Sara Spaziani,labor,Europe,Warwick,1,4388,1,3809,11.04536101718726,4064,12.0,4154,2,4322,0,3283,0,3965,1.0,4350,0,3203,1,3860,0.5,4086,5.522680508593631,4081,11.04536101718726,3996,12.04536101718726,4036
